"Store No.","Name","Latitude","Longitude","Address","Street","City","State","Zip_Code","County","Phone","Open Hours","URL","Provider","Updated Date","Country","Status","Direction URL"
"1651","Cub - Rosemount","44.7302","-93.1445","3784 W 150th St, Rosemount, MN, 55068","3784 W 150th St","Rosemount","MN","55068","Dakota","651-423-0300","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.1651.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/3784+W+150th+St,+Rosemount,+MN,+55068,+USA/"
"1639","Cub - Inver Grove Heights","44.8348","-93.0417","7850 Cahill Road, Inver Grove Heights, MN, 55076","7850 Cahill Road","Inver Grove Heights","MN","55076","Dakota","651-451-1579","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.1639.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/7850+Cahill+Road,+Inver+Grove+Heights,+MN,+55076,+USA/"
"1584","Cub Wine & Spirits - Inver Grove Heights","44.8348","-93.0417","7804 Cahill Ave, Inver Grove Heights, MN, 55076","7804 Cahill Ave","Inver Grove Heights","MN","55076","Dakota","651-455-4271","mon - sat: 8 am - 10 pmsun: 11 am - 6 pm","https://www.cub.com/stores/view-store.1584.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/7804+Cahill+Ave,+Inver+Grove+Heights,+MN,+55076,+USA/"
"1597","Cub - Lakeville","44.6921","-93.2832","17756 Kenwood Trail, Lakeville, MN, 55044","17756 Kenwood Trail","Lakeville","MN","55044","Dakota","952-898-4500","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.1597.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/17756+Kenwood+Trail,+Lakeville,+MN,+55044,+USA/"
"1635","Cub - Hastings","44.7373","-92.8913","1729 Market Blvd, Hastings, MN, 55033","1729 Market Blvd","Hastings","MN","55033","Dakota","651-438-1481","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.1635.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/1729+Market+Blvd,+Hastings,+MN,+55033,+USA/"
"1686","Cub Liquor - Rosemount","44.7315","-93.1419","3792 150th Street W, Rosemount, MN, 55068","3792 150th Street W","Rosemount","MN","55068","Dakota","651-423-0271","mon - sat: 8 am - 10 pmsun: 11 am - 6 pm","https://www.cub.com/stores/view-store.1686.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/3792+150th+Street+W,+Rosemount,+MN,+55068,+USA/"
"1656","Cub - Lakeville","44.6932","-93.2147","7435 W 179th St, Lakeville, MN, 55044","7435 W 179th St","Lakeville","MN","55044","Dakota","952-891-1700","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.1656.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/7435+W+179th+St,+Lakeville,+MN,+55044,+USA/"
"1604","Cub - Apple Valley","44.7269","-93.2165","15350 Cedar Ave, Apple Valley, MN, 55124","15350 Cedar Ave","Apple Valley","MN","55124","Dakota","952-432-6300","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.1604.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/15350+Cedar+Ave,+Apple+Valley,+MN,+55124,+USA/"
"1695","Cub - Eagan","44.8317","-93.1613","1276 Town Centre Dr, Eagan, MN, 55123","1276 Town Centre Dr","Eagan","MN","55123","Dakota","651-452-9506","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.1695.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/1276+Town+Centre+Dr,+Eagan,+MN,+55123,+USA/"
"1667","Cub Liquor - Hastings","44.7373","-92.8913","1729 Market Blvd, Hastings, MN, 55033","1729 Market Blvd","Hastings","MN","55033","Dakota","651-438-3526","mon - sat: 8 am - 10 pmsun: 11 am - 6 pm","https://www.cub.com/stores/view-store.1667.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/1729+Market+Blvd,+Hastings,+MN,+55033,+USA/"
"1658","Cub - Burnsville","44.7764","-93.2757","300 E Travelers Trail, Burnsville, MN, 55337","300 E Travelers Trail","Burnsville","MN","55337","Dakota","952-894-9040","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.1658.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/300+E+Travelers+Trail,+Burnsville,+MN,+55337,+USA/"
"1001041","Cub - St Paul","44.8855","-93.0827","2001 S Robert St, West St Paul, MN, 55118","2001 S Robert St","West St Paul","MN","55118","Dakota","651-451-2877","24 hours, 7 days a week","https://www.cub.com/stores/view-store.1001041.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/2001+S+Robert+St,+West+St+Paul,+MN,+55118,+USA/"
"4974","Cub - Eagan","44.8038","-93.1411","1020 Diffley Road, Eagan, MN, 55123","1020 Diffley Road","Eagan","MN","55123","Dakota","651-452-1811","6 am - midnight, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.4974.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/1020+Diffley+Road,+Eagan,+MN,+55123,+USA/"
"1680","Cub Liquor - Eagan","44.8045","-93.1417","1016 Diffley Road, Eagan, MN, 55123","1016 Diffley Road","Eagan","MN","55123","Dakota","651-454-1562","mon - sat: 8 am - 10 pmsun: 11 am - 6 pm","https://www.cub.com/stores/view-store.1680.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/1016+Diffley+Road,+Eagan,+MN,+55123,+USA/"
"1691","Cub Liquor - Burnsville","44.7466","-93.2991","1750 W County Road 42, Burnsville, MN, 55337","1750 W County Road 42","Burnsville","MN","55337","Dakota","","mon - sat: 8 am - 10 pmsun: 11 am - 6 pm","https://www.cub.com/stores/view-store.1691.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/1750+W+County+Road+42,+Burnsville,+MN,+55337,+USA/"
"1657","Cub - Lakeville","44.6593","-93.2519","20250 Heritage Drive, Lakeville, MN, 55044","20250 Heritage Drive","Lakeville","MN","55044","Dakota","952-469-8400","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.1657.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/20250+Heritage+Drive,+Lakeville,+MN,+55044,+USA/"
"1616","Cub - Eagan","44.792","-93.2057","1940 Cliff Lake Rd, Eagan, MN, 55122","1940 Cliff Lake Rd","Eagan","MN","55122","Dakota","651-454-4606","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.1616.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/1940+Cliff+Lake+Rd,+Eagan,+MN,+55122,+USA/"
"1631","Cub - Burnsville","44.7481","-93.3005","1750 County Rd 42 West, Burnsville, MN, 55337","1750 County Rd 42 West","Burnsville","MN","55337","Dakota","952-435-8300","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.1631.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/1750+County+Rd+42+West,+Burnsville,+MN,+55337,+USA/"
"1155110","Cub - Alexandria","45.8648","-95.3789","2612 South Broadway, Alexandria, MN, 56308","2612 South Broadway","Alexandria","MN","56308","Douglas","320-762-1158","5 am - midnight, 7 days a week","https://www.cub.com/stores/view-store.1155110.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/2612+South+Broadway,+Alexandria,+MN,+56308,+USA/"
"1155702","Cub - Edina","44.8818","-93.3199","6775 York Avenue South, Edina, MN, 55435","6775 York Avenue South","Edina","MN","55435","Hennepin","952-929-9330","24 hours, 7 days a week","https://www.cub.com/stores/view-store.1155702.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/6775+York+Avenue+South,+Edina,+MN,+55435,+USA/"
"1654","Cub - Brooklyn Park","45.1321","-93.3596","9655 Colorado Lane North, Brooklyn Park, MN, 55445","9655 Colorado Lane North","Brooklyn Park","MN","55445","Hennepin","763-315-6767","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.1654.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/9655+Colorado+Lane+North,+Brooklyn+Park,+MN,+55445,+USA/"
"1596","Cub Liquor - St Louis Park","44.9679","-93.3477","5370 W 16th St, St Louis Park, MN, 55416","5370 W 16th St","St Louis Park","MN","55416","Hennepin","952-544-0740","mon - sat: 8 am - 10 pmsun: 11 am - 6 pm","https://www.cub.com/stores/view-store.1596.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/5370+W+16th+St,+St+Louis+Park,+MN,+55416,+USA/"
"1001034","Cub - Bloomington","44.813","-93.3296","10520 France Avenue South, Bloomington, MN, 55431","10520 France Avenue South","Bloomington","MN","55431","Hennepin","952-884-8288","24 hours, 7 days a week","https://www.cub.com/stores/view-store.1001034.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/10520+France+Avenue+South,+Bloomington,+MN,+55431,+USA/"
"1155705","Cub - Minneapolis","44.8952","-93.2772","5937 Nicollet Avenue South, Minneapolis, MN, 55419","5937 Nicollet Avenue South","Minneapolis","MN","55419","Hennepin","612-866-7471","24 hours, 7 days a week","https://www.cub.com/stores/view-store.1155705.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/5937+Nicollet+Avenue+South,+Minneapolis,+MN,+55419,+USA/"
"1650","Cub - Plymouth","45.0212","-93.4793","3550 Vicksburg Ln North, Plymouth, MN, 55447","3550 Vicksburg Ln North","Plymouth","MN","55447","Hennepin","763-559-2110","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.1650.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/3550+Vicksburg+Ln+North,+Plymouth,+MN,+55447,+USA/"
"1636","Cub - Shorewood","44.893","-93.5813","23800 State Hwy 7, Shorewood, MN, 55331","23800 State Hwy 7","Shorewood","MN","55331","Hennepin","952-380-9900","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.1636.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/23800+State+Hwy+7,+Shorewood,+MN,+55331,+USA/"
"1001036","Cub - Eden Prairie","44.8591","-93.4216","8015 Den Road, Eden Prairie, MN, 55344","8015 Den Road","Eden Prairie","MN","55344","Hennepin","952-941-9050","24 hours, 7 days a week","https://www.cub.com/stores/view-store.1001036.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/8015+Den+Road,+Eden+Prairie,+MN,+55344,+USA/"
"1001038","Cub - Minnetonka","44.9145","-93.5027","4801 Highway 101, Minnetonka, MN, 55345","4801 Highway 101","Minnetonka","MN","55345","Hennepin","952-938-1404","5 am - 11 pm, 7 days a week","https://www.cub.com/stores/view-store.1001038.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/4801+Highway+101,+Minnetonka,+MN,+55345,+USA/"
"1601","Cub - Crystal","45.0194","-93.3458","5301 36th Ave N, Crystal, MN, 55422","5301 36th Ave N","Crystal","MN","55422","Hennepin","763-287-9996","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.1601.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/5301+36th+Ave+N,+Crystal,+MN,+55422,+USA/"
"1693","Cub - Minneapolis","44.9497","-93.2938","1104 Lagoon Ave, Minneapolis, MN, 55408","1104 Lagoon Ave","Minneapolis","MN","55408","Hennepin","612-823-1563","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.1693.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/1104+Lagoon+Ave,+Minneapolis,+MN,+55408,+USA/"
"1155902","Cub - St Louis Park","44.9376","-93.3831","3620 Texas Avenue South, St Louis Park, MN, 55426","3620 Texas Avenue South","St Louis Park","MN","55426","Hennepin","952-938-5959","24 hours, 7 days a week","https://www.cub.com/stores/view-store.1155902.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/3620+Texas+Avenue+South,+St+Louis+Park,+MN,+55426,+USA/"
"1595","Cub - St Louis Park","44.9679","-93.3477","5370 W 16th St, St Louis Park, MN, 55416","5370 W 16th St","St Louis Park","MN","55416","Hennepin","952-546-1665","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.1595.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/5370+W+16th+St,+St+Louis+Park,+MN,+55416,+USA/"
"1633","Cub - Plymouth","45.0342","-93.4101","4445 Nathan Ln, Plymouth, MN, 55442","4445 Nathan Ln","Plymouth","MN","55442","Hennepin","763-553-0611","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.1633.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/4445+Nathan+Ln,+Plymouth,+MN,+55442,+USA/"
"1155373","Cub - Minneapolis","45.0051","-93.2324","1540 New Brighton Blvd, Minneapolis, MN, 55413","1540 New Brighton Blvd","Minneapolis","MN","55413","Hennepin","612-788-6003","24 hours, 7 days a week","https://www.cub.com/stores/view-store.1155373.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/1540+New+Brighton+Blvd,+Minneapolis,+MN,+55413,+USA/"
"1643","Cub - Champlin","45.1608","-93.3906","8600 N 114th Ave, Champlin, MN, 55316","8600 N 114th Ave","Champlin","MN","55316","Hennepin","763-427-2714","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.1643.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/8600+N+114th+Ave,+Champlin,+MN,+55316,+USA/"
"1565","Cub Liquor - Champlin","45.1608","-93.3898","11420 Market Place Drive, Champlin, MN, 55316","11420 Market Place Drive","Champlin","MN","55316","Hennepin","763-323-7204","mon - sat: 8 am - 10 pmsun: 11 am - 6 pm","https://www.cub.com/stores/view-store.1565.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/11420+Market+Place+Drive,+Champlin,+MN,+55316,+USA/"
"1001037","Cub - Minneapolis","44.9515","-93.2361","2850 26th Ave South, Minneapolis, MN, 55406","2850 26th Ave South","Minneapolis","MN","55406","Hennepin","","8 am - 8 pm, 7 days a week","https://www.cub.com/stores/view-store.1001037.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/2850+26th+Ave+South,+Minneapolis,+MN,+55406,+USA/"
"1666","Cub Liquor - Plymouth","45.0342","-93.4101","4445 Nathan Lane, Plymouth, MN, 55442","4445 Nathan Lane","Plymouth","MN","55442","Hennepin","763-559-9419","mon - sat: 8 am - 10 pmsun: 11 am - 6 pm","https://www.cub.com/stores/view-store.1666.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/4445+Nathan+Lane,+Plymouth,+MN,+55442,+USA/"
"1005222","Cub Liquor - Bloomington","44.8135","-93.3296","10522 France Ave, Bloomington, MN, 55431","10522 France Ave","Bloomington","MN","55431","Hennepin","952-746-1717","mon - sat: 8 am - 10 pmsun: 11 am - 6 pm","https://www.cub.com/stores/view-store.1005222.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/10522+France+Ave,+Bloomington,+MN,+55431,+USA/"
"1662","Cub Liquor - Brooklyn Park","45.0926","-93.379","7555 West Broadway, Brooklyn Park, MN, 55428","7555 West Broadway","Brooklyn Park","MN","55428","Hennepin","763-425-7051","mon - sat: 8 am - 10 pmsun: 11 am - 6 pm","https://www.cub.com/stores/view-store.1662.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/7555+West+Broadway,+Brooklyn+Park,+MN,+55428,+USA/"
"1671","Cub Liquor - Crystal","45.0204","-93.3457","5301 36th Avenue North, Crystal, MN, 55422","5301 36th Avenue North","Crystal","MN","55422","Hennepin","763-588-7940","mon - sat: 8 am - 10 pmsun: 11 am - 6 pm","https://www.cub.com/stores/view-store.1671.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/5301+36th+Avenue+North,+Crystal,+MN,+55422,+USA/"
"1155501","Cub - Rogers","45.2063","-93.5503","13855 Rogers Drive, Rogers, MN, 55374","13855 Rogers Drive","Rogers","MN","55374","Hennepin","763-428-6464","5 am - midnight, 7 days a week","https://www.cub.com/stores/view-store.1155501.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/13855+Rogers+Drive,+Rogers,+MN,+55374,+USA/"
"1155102","Cub - Brooklyn Center","45.0589","-93.3236","3245 County Road 10, Brooklyn Center, MN, 55430","3245 County Road 10","Brooklyn Center","MN","55430","Hennepin","763-560-0158","5 am - midnight, 7 days a week","https://www.cub.com/stores/view-store.1155102.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/3245+County+Road+10,+Brooklyn+Center,+MN,+55430,+USA/"
"1155371","Cub - Minneapolis","44.9985","-93.289","701 West Broadway Avenue, Minneapolis, MN, 55411","701 West Broadway Avenue","Minneapolis","MN","55411","Hennepin","612-746-1700","6 am - 10 pm, 7 days a week","https://www.cub.com/stores/view-store.1155371.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/701+West+Broadway+Avenue,+Minneapolis,+MN,+55411,+USA/"
"1665","Cub Liquor - Bloomington","44.8514","-93.2861","8421 Lyndale Ave, Bloomington, MN, 55420","8421 Lyndale Ave","Bloomington","MN","55420","Hennepin","952-888-2045","mon - sat: 8 am - 10 pmsun: 11 am - 6 pm","https://www.cub.com/stores/view-store.1665.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/8421+Lyndale+Ave,+Bloomington,+MN,+55420,+USA/"
"1609","Cub - Brooklyn Park","45.0926","-93.379","7555 W Broadway, Brooklyn Park, MN, 55428","7555 W Broadway","Brooklyn Park","MN","55428","Hennepin","763-424-2510","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.1609.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/7555+W+Broadway,+Brooklyn+Park,+MN,+55428,+USA/"
"1600","Cub - Maple Grove","45.1026","-93.4481","8150 Wedgewood Ln, Maple Grove, MN, 55369","8150 Wedgewood Ln","Maple Grove","MN","55369","Hennepin","763-494-8364","24 hours, 7 days a week24 hours, 7 days a week","https://www.cub.com/stores/view-store.1600.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/8150+Wedgewood+Ln,+Maple+Grove,+MN,+55369,+USA/"
"1645","Cub - Cambridge","45.5735","-93.2025","100 Opportunity Blvd North East, Cambridge, MN, 55008","100 Opportunity Blvd North East","Cambridge","MN","55008","Isanti","763-689-1112","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.1645.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/100+Opportunity+Blvd+North+East,+Cambridge,+MN,+55008,+USA/"
"1602","Cub - Rochester","44.0092","-92.4442","1021 15th Ave Se, Rochester, MN, 55904","1021 15th Ave Se","Rochester","MN","55904","Olmsted","507-281-4554","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat: 9 am - 6 pmsun: 10 am - 5 pm","https://www.cub.com/stores/view-store.1602.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/1021+15th+Ave+Se,+Rochester,+MN,+55904,+USA/"
"1591","Cub - White Bear Lake","45.0389","-93.0198","1920 Buerkle Road, White Bear Lake, MN, 55110","1920 Buerkle Road","White Bear Lake","MN","55110","Ramsey","651-777-7899","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.1591.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/1920+Buerkle+Road,+White+Bear+Lake,+MN,+55110,+USA/"
